Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59328137,20.13680795,12.20149135,2.089654904,3.834678851,0.270153782,1.009406484,2.265066625,-2.073120443,-2.324845885,4.241982804,-0.146480395,-0.728507061,5.417261666,-5.08748023,-5.411987982,-0.151921482,6.023132962,-0.084879113,0.24685282,1.401979577,-0.224758911,-10.59912817,-3.886820453,3.05578791,-1.865105256,3.592223121,-0.29053442,5.129657088,1.587868753,1.519821434,,,
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-1.439563231,4.755907897,3.054066912,2.767853885,2.861630019,1.345607818,3.031529945,1.283349352,2.349178535,1.994995373,2.194046059,-0.656139336,1.508600843,2.830432747,-1.475150834,-0.491714025,-2.154074413,-1.280637195,0.196111936,2.654018736,1.175901211,-2.681444176,-3.043260642,0.606346676,-3.201549565,-1.16117088,0.607433431,1.221174614,-0.300789963,-2.779123987,-2.875428417,-4.850139636,-3.363443393,-0.646329874,1.556344783,2.665487164,0.770114663,-0.938969092,0.057874185,0.775420279,0.750836184,1.420663756,0.513774583,2.706074904,3.551638708,4.03791364,4.285223876,2.021803505,-1.650054478,2.007226785,1.406598064,0.464708047,1.662889409,1.304635269,0.029830004,-0.68899212,0.137680996,-0.272525836,-0.93898393,-6.023657975
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868380295,-2.875203167,7.207967218,2.253310644,11.02278717,1.594215458,18.51541929,11.26409057,-2.681061056,8.974865343,1.97416569,-0.665291051,-1.622857186,-0.541416196,0.064764195,-1.194900383,1.535636674,-4.168191087
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.183547,1.647202019,4.763988478,2.965075357,1.906584805,-3.955568279,-11.41569318,-0.861483691,12.47421363,14.88035969,8.010582795,0.731811847,1.553089754,7.772368449,-4.410719461,5.941846325,1.573735999,-5.167015909,2.354251452,-0.488913297,-9.165023692,-5.718698753,-8.717666784,-1.962887598,2.635422564,-1.395543111,-1.518588962,2.094774165,-0.403984345,3.619854463,-1.43969496,0.000536811,-3.736498691,-2.827813872,-0.656378104,1.849257488,1.092270613,0.870947549,-1.273819392,0.880291106,2.887695935,7.040756015,3.083459457,5.153504791,3.171581949,2.42010878,2.723478435,3.285391511,3.257774506,3.750062736,2.169496309,2.441335321,2.995340295,3.005479738,-0.003081213,-2.659707484,-0.540874269,0.124017194,0.451218578,-3.545482034
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.710277854,-3.490383248,0.548516269,2.288507798,-0.107614903,-0.670777629,0.488466543,2.496629636,-3.335953916,-6.657467258,-2.310867997,-8.876931195,-26.41177135,-1.87789751,11.35953867,9.952786592,3.8778581,1.364744017,-1.085298451,-0.267956298,0.822138302,9.943757743,-0.43183389,7.187063696,11.03078294,7.582318726,9.89004909,7.116847905,-2.808599596,0.640263325,-0.220842988,4.70651886,1.291993845,1.219880621,-2.468737307,-5.816187549,-3.409983376,-5.162111791,-3.795607965,-7.079822354
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.51715258,13.60715645,7.633866403,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.048888488,4.223037747,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.609888198,-2.750816342
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-0.654422133,2.863942375,2.645683648,1.027601953,-3.354398306,-0.196879323,-0.258915175,-1.468674346,-3.063824666,-1.299976738,-3.95427565,-2.939031092,-2.561850052,-2.629335686,-2.008406721,-1.023745098,1.323843319,0.980825124,0.791996836,-0.133166841,-1.35923552,-2.869215672,-4.427065042,-0.397087332,0.852320249,3.83189583,9.143981098,3.481177447,3.730346166,1.910286412,4.982252338,0.510652937,4.042246268,3.781885829,1.895271315,2.060202314,-0.518849647,-6.885817402,-5.976684045,-1.966833159,0.834867424,-3.45153545,-1.568871338,4.519279413,3.02081678,4.646211549,0.734439351,1.574254317,1.833060593,-12.09165965
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,12.20751686,4.820131794,-3.887504141,8.056779786,5.612183948,-0.155940146,-11.82609466,-9.678142566,-1.705405385,-5.2379791,1.669272995,-3.311800181,2.714793122,-0.39854765,9.054046299,-1.180501119,3.040576342,0.557592037,0.588211762,-0.350997452,2.216053462,1.952170767,3.025168812,-0.337634419,4.515853241,-0.603978694,-1.732742913,2.444843656,7.062245032,3.182063269,3.761166408,2.098950767,3.283639836,-1.955257827,2.227507121,1.427959502,4.266987687,1.11440702,0.426261046,1.273220196,1.335080967,-0.931399519,0.212491473,-0.378385965,-6.78818708
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,0.154395319,5.350679527,-13.38604046,8.431646467,13.21214006,-2.698733694,-12.18202323,-9.680524336,-1.249370605,-8.689027152,-19.67481892,-2.492523116,-8.217458063,5.918717125,11.67776892,-4.800635543,-2.481187494,-4.341751058,1.247424369,1.354947719,0.630737901,2.834664872,-4.765111252,-2.399488321,4.909159703,-3.778905332,-2.750302954,1.966321187,-0.038010166,-7.020363051,-4.916669307,-11.34565271,-10.20864609,-15.15122468,-5.914967899,2.188028872,2.2579153,4.410204591,4.100117747,4.553179983,1.981149832,1.011416618,-0.320590318,0.225378641,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.728778517,-2.425843153,-6.788239594,8.437243988,8.896809279,-2.136477766,1.678434703,3.28693768,8.050279281,1.479494409,4.007465322,0.005835951,1.156920756,3.851757784,-1.587829386,-3.506390945,5.342990047,-5.916401453,8.577690171,-0.029609998,-6.66849782,-2.307766138,2.681981836,-0.051846592,-6.692590674,4.484326862,1.106064524,-2.603236227,-8.540862012,-3.874085354,7.614326415,6.487631818,6.802926902,4.505456801,-4.032158811,4.274586465,6.864733362,2.681002816,-4.455178459,-1.874936367,-5.447048173,-11.85478172,7.676534048,7.884937505,7.729488996,6.955533576,7.924210888,3.029500652,-6.854225055,9.300122922,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.550091173,-3.055854858,-10.77497741
