index,player,team,match name,rating,goals,shots off target,shots on target blocked,match short
8,Aaron Cresswell,West Ham,Liverpool - West Ham,7.870317603124204,1,1,3,Liverpool - West H...
15,Aaron Cresswell,West Ham,West Ham - Bournemouth,7.685076688935615,1,3,2,West Ham - Bournem...
20,Aaron Cresswell,West Ham,Arsenal - West Ham,4.992536171747741,2,0,3,Arsenal - West Ham...
36,Aaron Cresswell,West Ham,West Ham - Wolves,7.197878507703274,2,2,2,West Ham - Wolves
47,Aaron Cresswell,West Ham,Everton - West Ham,4.533370727117397,0,0,3,Everton - West Ham...
59,Aaron Cresswell,West Ham,West Ham - Chelsea,4.683017850123935,2,0,0,West Ham - Chelsea...
66,Aaron Cresswell,West Ham,West Ham - Man United,4.737033612940581,0,3,2,West Ham - Man Uni...
70,Aaron Cresswell,West Ham,Brighton - West Ham,5.943218593739773,1,2,0,Brighton - West Ha...
86,Aaron Cresswell,West Ham,West Ham - Tottenham,8.997027286122602,2,3,0,West Ham - Tottenh...
92,Aaron Cresswell,West Ham,Leicester - West Ham,4.7519983432509845,0,0,0,Leicester - West H...
105,Aaron Cresswell,West Ham,West Ham - Burnley,9.528955173650427,2,3,1,West Ham - Burnley...
112,Aaron Cresswell,West Ham,Huddersfield - West Ham,7.137754494738203,0,3,3,Huddersfield - Wes...
126,Aaron Cresswell,West Ham,West Ham - Man City,8.449873590457356,0,0,0,West Ham - Man Cit...
135,Aaron Cresswell,West Ham,Newcastle - West Ham,6.265838062286028,2,0,1,Newcastle - West H...
143,Aaron Cresswell,West Ham,West Ham - Cardiff,5.271300473587683,0,2,1,West Ham - Cardiff...
157,Aaron Cresswell,West Ham,West Ham - Crystal Palace,5.420995664227981,1,3,0,West Ham - Crystal...
161,Aaron Cresswell,West Ham,Fulham - West Ham,4.540630734493723,1,2,0,Fulham - West Ham
178,Aaron Cresswell,West Ham,West Ham - Watford,8.55866247331666,1,1,0,West Ham - Watford...
189,Aaron Cresswell,West Ham,Southampton - West Ham,5.81387996322408,0,3,3,Southampton - West...
196,Aaron Cresswell,West Ham,Burnley - West Ham,7.92432406004205,2,1,0,Burnley - West Ham...
207,Aaron Cresswell,West Ham,West Ham - Brighton,4.733264091319963,1,1,1,West Ham - Brighto...
216,Aaron Cresswell,West Ham,West Ham - Arsenal,5.019876309944438,1,2,0,West Ham - Arsenal...
221,Aaron Cresswell,West Ham,Bournemouth - West Ham,5.225395188055074,0,1,1,Bournemouth - West...
235,Aaron Cresswell,West Ham,Wolves - West Ham,9.437371528857234,1,1,3,Wolves - West Ham
249,Aaron Cresswell,West Ham,West Ham - Liverpool,5.741429777936314,0,3,3,West Ham - Liverpo...
252,Aaron Cresswell,West Ham,Crystal Palace - West Ham,9.094556377792214,1,3,2,Crystal Palace - W...
262,Aaron Cresswell,West Ham,West Ham - Fulham,7.609168885833193,2,0,2,West Ham - Fulham
277,Aaron Cresswell,West Ham,Man City - West Ham,4.874421618046727,0,1,0,Man City - West Ha...
284,Aaron Cresswell,West Ham,West Ham - Newcastle,7.311212677831652,0,3,2,West Ham - Newcast...
289,Aaron Cresswell,West Ham,Cardiff - West Ham,9.292989040273532,1,3,2,Cardiff - West Ham...
301,Aaron Cresswell,West Ham,West Ham - Huddersfield,6.42774187624258,2,0,1,West Ham - Hudders...
310,Aaron Cresswell,West Ham,West Ham - Everton,7.103230080365202,2,0,2,West Ham - Everton...
324,Aaron Cresswell,West Ham,Chelsea - West Ham,7.21395063971093,0,2,1,Chelsea - West Ham...
329,Aaron Cresswell,West Ham,Man United - West Ham,9.579214503947188,1,1,2,Man United - West ...
340,Aaron Cresswell,West Ham,West Ham - Leicester,8.070337669042498,1,2,3,West Ham - Leicest...
355,Aaron Cresswell,West Ham,Tottenham - West Ham,8.641081243401239,0,1,1,Tottenham - West H...
364,Aaron Cresswell,West Ham,West Ham - Southampton,9.504133937381766,0,1,2,West Ham - Southam...
379,Aaron Cresswell,West Ham,Watford - West Ham,4.678784510344656,1,2,0,Watford - West Ham...
9,Aaron Lennon,Burnley,Southampton - Burnley,6.817623314233709,2,2,2,Southampton - Burn...
17,Aaron Lennon,Burnley,Burnley - Watford,6.910630240177157,1,2,1,Burnley - Watford
26,Aaron Lennon,Burnley,Fulham - Burnley,6.565438544501454,2,2,0,Fulham - Burnley
37,Aaron Lennon,Burnley,Burnley - Man United,9.187140411052976,2,0,1,Burnley - Man Unit...
48,Aaron Lennon,Burnley,Wolves - Burnley,4.503133444905859,1,1,3,Wolves - Burnley
51,Aaron Lennon,Burnley,Burnley - Bournemouth,9.324524707340608,1,3,0,Burnley - Bournemo...
68,Aaron Lennon,Burnley,Cardiff - Burnley,5.542974607212971,0,1,2,Cardiff - Burnley
71,Aaron Lennon,Burnley,Burnley - Huddersfield,5.188981166456614,1,1,1,Burnley - Huddersf...
84,Aaron Lennon,Burnley,Man City - Burnley,6.0392899502573645,1,3,3,Man City - Burnley...
96,Aaron Lennon,Burnley,Burnley - Chelsea,5.2263325098928535,0,1,2,Burnley - Chelsea
105,Aaron Lennon,Burnley,West Ham - Burnley,6.854521979578827,0,3,0,West Ham - Burnley...
113,Aaron Lennon,Burnley,Leicester - Burnley,8.21700915922407,0,2,1,Leicester - Burnle...
129,Aaron Lennon,Burnley,Burnley - Newcastle,6.04845741522448,0,2,0,Burnley - Newcastl...
131,Aaron Lennon,Burnley,Crystal Palace - Burnley,8.093618728320447,2,3,0,Crystal Palace - B...
144,Aaron Lennon,Burnley,Burnley - Liverpool,8.11312749559379,0,2,2,Burnley - Liverpoo...
152,Aaron Lennon,Burnley,Burnley - Brighton,9.49710805265567,2,3,3,Burnley - Brighton...
164,Aaron Lennon,Burnley,Tottenham - Burnley,9.580322815685676,2,1,3,Tottenham - Burnle...
171,Aaron Lennon,Burnley,Arsenal - Burnley,9.873189314591816,0,3,0,Arsenal - Burnley
181,Aaron Lennon,Burnley,Burnley - Everton,5.4950395875301545,2,3,0,Burnley - Everton
